羡慕珍妮，不管她多么叛逆、落魄、堕落，永远有阿甘在等她回来,10
妈妈说，生活就像一盒巧克力……请不要再续下一句，耳朵听的起了茧子。,10
傻人有傻福，实际上并不是这样的。在我看来，阿甘的妈妈才是最伟大的人。很多普通人把低智商的孩子早早就放弃了，不让上学，不与别人接触，也许是为了保护自己的孩子，但是这样以后孩子就等于废了……,10
每年看一遍，每年哭一遍，看看自己幸福还是阿甘幸福！时间：从2003开始每年一遍,10
Mama always said life was like a box of chocolates. You never know what you're gonna get.,10
重新再看一遍，觉得奥斯卡当年颁给《阿甘正传》而不是《肖申克的救赎》，还是对的……更广阔，经得起各种解读，每个人都能找到自己的点。,10
他的十二支船，每一支都是她的名字。她走后，他只得跑遍世界的每一个湖泊和沙漠来思念她，只等她一声召唤便死心塌地的回到她的身边。好莱坞编造一个这么纯粹的故事，让我们看到我们所拥有的感情，是多么的残破不堪。这简直是残忍的，不道德的。,8
阿甘奔跑的意象，应该留在了很多人心里。,10
you are my girl.,10
"这是一部美国典型的反智题材电影。聪明的人未必一定能成功。阿甘的智商极低，却情商极高。他一直怀着单纯的心，做了在别人眼里了不起的事，也尽力照顾身边的人。
成功充满必然与偶然。
人生就像是一盒巧克力。
最经典的两句台词",10
这部电影的主题是：“保守主义始终代表美国先进生产力的发展要求，始终代表美国先进文化的前进方向，始终代表美国最广大人民的根本利益。”,10
我生命里最温暖的一部电影,10
太甜美的美國夢,8
《阿甘正传》总觉得有点伪心灵鸡汤的感觉。阿甘人生处处开挂有点不真实，相比较来说更喜欢《肖申克的救赎》。,8
"十年前看过一遍，那时还是一个小屁孩，就像Forrest的妈妈说的一样，生活就像一盒巧克力，十年前的我绝对不会预料得到现在我会成为一个这样的大男生。Forrest Gump真是把""蠢萌""这两个字发挥到极致，我的意思是，蠢萌，其实也是上帝给予的天赋。",10
人生就像一盒巧克力，你不知道会选中哪一颗。,10
又是七年后，重温一遍。上帝是仁慈的，妈妈走了，珍妮走了，朋友走了，可是给阿甘留下了一个孩子。要是没有孩子他该怎么活下去。也是电影的仁慈。,10
遇见阿甘一般的男人是一生的梦想,10
我一直记得那根羽毛,10
"上中学时看的剧，印象最深的是那句：""Run! Forrest! Run!"" 然后，他就跑出了自己的阴霾，跑出了崭新的人生~非常励志的一部剧，让我重新审视自己，让我更有勇气！",10
电影以一个虚构的人物阿甘为主线巧妙的融入了越南战争，水门事件，总统被刺，乒乓外交等多项历史事件，以一个小人物的视角看待历史问题，故事采用阿甘对白的方式讲述故事。电影展现了阿甘的乐观坚强，以及感染了周围人，相对来说还算励志。,8
这当然是部励志电影，但我也觉得是部教育电影。阿甘智商底下，思想单纯，所以他的成长环境很重要，需要三观正的人来引导他，显然他是幸运的，他娘和他女朋友在他成长过程中给予他足够的爱，鼓励他，支持他，让他辨别善与恶，才成就了他，给他娘和女朋友三颗星，值得我学习,10
life was like a box o'chocolates. You never know what you gonna get ！,10
一切尽在不言……我人生的第一部电影,10
真他妈的经典啊！！！,10
每次看阿甘都还会感动，让人觉得世间的一切都那么美好，每个人只要守护着自己心中的信念坚持下去，就会拥有美好的未来。纯粹的追求，才能快乐。,10
可我还是觉得他很孤独。跑得太快的时候没人跟上他，停下来的时候身边的人一个一个都离他而去。,10
好电影：平庸——神奇——惊叹——返璞归真。,10
这是我永远也达不到的人生。我不够坚定 也不够坚持。,10
从个人成长史透析美国政治社会史，从人性深处的角度还原一个最纯粹善良的爱，和最坚定而简单理想。在阿甘身上能够去审视我们所谓“正常人”的种种弱点：怨天尤人、虚荣、贪婪和自私。它是一座简单却又深刻的催泪反应堆，无不令观者动容。每次看都无法抑制内心强烈的感动。9.2,10
人生就像各种各样的朱古力，你永远不会知道那一块属于你。总体来看整个电影的情节非常好！连贯！演技也好！故事给人的印象非常深刻！,8
看完有些伤感，为什么相爱却不能相守，阿甘在别人眼里很成功，但那到底是不是他想要的,8
只要最后那个人是你，等待就是值得的。,10
经典励志电影。母亲真的很伟大。,10
这部电影很棒，居然还有很多人说看不懂，说看不懂的人说明你的经历太少。阿甘只是忠诚善意地对待身边的每一个人，他也只是专心专注努力的做好每一件事情，所以他才能成功，活好当下是这电影要传达的信息。,8
众所不周知，这并不是我认为的“励志片”。阿甘只是美国过去时代里“人”的反面典型，他的偏差因为稀缺，拿到了大学文凭，稀里糊涂参了军，参合了别人的开船捕虾梦，救了人，见过几任总统。他不知道规则，他不怕死。他爱吃冰激淋，他爱吃巧克力。他是跑步、打乒乓的天才。他有一个不视他为另类的妈妈，还有一个一度若即若离的亲梅竹马。谁能想到1994年，美国的电影制作已经这么精巧，令人不可思议。无数个笑点儿之后，那个曾经抓不住的女孩儿还是走向了他，死在了妈妈的床上，埋在了小时候一起玩耍的大树下。Jenny，她再也无需飘零。所以，这根本不是励志片，就像真正的跑步并没有具体的意义一样，它就是我们穷尽一生的未知旅程，起于开始，终于结束，恍如风中的羽毛。,10
人人都该看!!,10
高中英语课放了一次，大学思修课放了一次，还让我们写观后感，无语。。。老师咋都在放这种电影呢,8
想起是在某人的电脑上面看的就恶心  而且他还不愿意发给我,8
泪点低，看一次哭一次，前天下午我们英语老师又放了一遍，还是那样的感动,10
无论身在何处境，看到阿甘似乎都能烟消云散！电影虽有些梦幻色彩，但却充满了人生哲理！,10
每人都有一部启蒙电影的情结，小时候看阿甘双VCD被深深震撼，艺考时又靠它获得专业第一的成绩，开始了新的梦想征程。//刚学电影时觉得小时候喜欢这种烂大街的片子逼格太低、很羞耻，不明白为什么考官给我那么大的鼓励，现在年纪越大越觉得，主流经典才最耐看，年轻人没有天赋却总想着炫技才可怕,10
智力75足够过好这一生，just run run run。不要再左右摇摆，去相信朴素的人生智慧，然后执行执行执行。,10
很励志的故事 高中的时候看的 看完对于当时的我来说起到了很大的激励作用 而且演员演的特别好,10
"They laughed a little louder; they cried a little softer; they lived a little stronger; because they stood together, Family.",10
奥斯卡得的实至名归，以戏谑的方式调侃美国还蛮有趣，我几次被感动的要哭哇，果然我的审美还是比较主流化,10
